review_text,rating,date,year
"Had to drop by Maxwell to see Tian Tian. Anticipation kept growing as I made my way thru the lunch rush line.Strength in numbers. Have someone scout a table while another waits in line. Got my order quick and easy.A medium order of Hainanese chicken rice will run you $6 SGD, although some may question whether the portion matches its described size.It's all about the rice. Ridiculously flavorful, it definitely outshines the chicken. And because of that... it was underwhelming.If you're from the SGV in SoCal, I would easily pick Tian Tian's rice, but take Cluck2Go's chicken and Savoy's sauces to make a superior dish.",4.0,"Nov 25, 2022",2022
"Located in the Maxwell hawker center, this place is worth trying a plate of their chicken and rice. We knew this was a go-to place when we walked up and there was a line of 6 or 7 people waiting to order in front of this small stall. The Rice is soaked, just INFUSED, with the chicken fat. The fat shines off your lips. Definitely tasting the stock in the rice. Although the chicken wasn't as flavorful as I'd hope, the spicy garlic orange paste makes up in flavor. The sauce here is spicier than the Ah Tai vendor 3 stalls down. I recommend ordering from both stalls and comparing!",5.0,"Sep 2, 2022",2022
Surely representing the best hainanese chicken joint in Singapore as you can see line started at pre-opening.  Chicken is porched and then soaked in cold bath to conceal and retain its juiciness in the chicken which makes the meat silky and moist. Rice is fragrant with a touch of coconut which it's super tasty Absolutely must try,1.0,"Jul 21, 2022",2022
Amazing flavor on a dish that is deceivingly simple looking! The line is huge for a late lunch but I see the reason.,4.0,"Jul 20, 2023",2023
"Came by for a light lunch the other day and it was a sweaty experience! The queue for this Michelin Bib Gourmand stall was ~10-15 minutes at 12:30 pm on a Sunday, except it was 85F outside or 97F after factoring humidity. Luckily Singaporeans queue and there was also a covered waiting area.Prices have gone up drastically due to the chicken shortage from Malaysia.Ordered the chicken thigh rice for $8, cash only. The rice was extremely fragrant, and the chicken was world class juicy. The sauce on top was just world class! The chili dipping sauce was quite spicy too!There are additional tables behind the stalls, except there are no fans!",4.0,"Jul 3, 2022",2022
"Was in Singapore for a few days and knew I had to check this place out. They are closed on Mondays so I came on a Sunday morning. Online said they opened at 1030 but I arrived around 10am and there was already a short line. Waited about 5 minutes - they are quite efficient. Medium sized chicken rice was S$6.00 (small S$5 and large ~S$8). Food was delicious and I loved the spicy sauce it came with as well. Don't think I would wait too long for this place, but glad I was able to try it!They are CASH ONLY.",4.0,"Apr 5, 2019",2019
"SO DELICIOUS SO CHEAP. CASH ONLY! All the hype is right! You'll find this stall in the third(?) row in the food markets. We had read that you would have to wait 40-60 minutes during lunch time. Maybe we got lucky on our vacation, but we only waited 5 minutes on line, and got our food quickly. Obviously get the chicken rice (medium) - there's a star on the menu for most popular plate. The rice is super fragrant and delicious, more moist than I expected. Chicken is delicious as well - you may not even need any sauces. Must come here!! And definitely try other stalls here as well - there's a nice juice and smoothie stall right next to here :)",5.0,"Dec 30, 2017",2017
"Food is very good, cheap and comes out quickly. You can get the chicken with rice, as a set with soup and vegetables, or a full chicken. The man running the stall is efficient and has a sense of humor. You can also get delivery with Grab. Keep in mind that some items sell out, such as the set. Highly recommended for a fast casual meal!",4.0,"Sep 26, 2013",2013
"They do chicken right.  There is normally a line but they fill orders quickly.  Not sure I would wait online again for such a simple dish, which is found throughout the city.",5.0,"Oct 2, 2022",2022
At Maxwell hawker centre. There was a long line up which shows the popularity. The chicken was so moist and tasty. Definitely worth waiting for.,4.0,"Jun 24, 2022",2022
"100% behind the hype on this place. It was on Anthony Bourdains ""No Reservation"" and has a Michelin star & it's star dish - chicken rice ... comes in at a whopping total of $6 (Singapore dollars ... so even cheaper for USA). 3 different sizes depending on your hunger level, and I opted for the medium... however, I wish I got the large because it was just that good!The rice was ok, nothing spectacular, the sauce on top is what makes the flavor pop there but the chicken.. just wow. It is SO SO SO juicy and tender. I am literally googling how to cook any kind of chicken dinner in my future just like that. I dare say the best chicken I've had. Go, you won't be disappointed!",4.0,"Dec 27, 2022",2022
"We'll deserved Michelin star! The food, quick service and no frills unnecessary for a successful food delight!",5.0,"Nov 19, 2022",2022
"Way overrated. Canteen quality food, rice doesn't taste like it's cooked with chicken oil but doused with soy sauce, chicken has little flavor and rather stiff. Doesn't even put garnishing to even attempt to make the food look the least bit appetizing.",1.0,"Jul 2, 2023",2023
"Everyone talks about this place so I wanted to try it. The Hainanese Chicken Rice was ok for me. I can't say that I'd go back here for this. Maybe the rice and the sauce were the best part. I did finish my dish tho. It wasn't bad or good. The price was outrageous for the half chicken rice. It was $16! I saw Anthony Bourdain's picture on the window. Yeah, that's why it was so expensive for what it is. I'd go to any other places in the Hawkers and pay $6 for the dish. I bet it would taste the same.",4.0,"Jul 3, 2022",2022
"I wonder why this chicken rice stall is so famous? Because Anthony Bourdain featured it? Dishes are expensive comparing to the ambiance. No ac, humid, noisy, too much foot traffic... don't waste your time here. The quality of the chicken is not there. I've eaten at less known stalls and they taste way much better. Aragon & rude wait staff. And you have to take your own dishes as it's a self service place. Pay so much and serve yourself. No meaning... The chicken meat sucks. More bones than meat! Give this place a miss... you won't miss it...",4.0,"Mar 8, 2023",2023
"Not that good. Not horrible. Savoy back in LA is way better. Not worth the long line, for sure.",4.0,"Dec 29, 2022",2022
food was good but i was expecting extraordinary since the reviews are so high. the chicken was flavorful and tender. great for a quick meal. Be ready to stand in a long line,5.0,"Sep 2, 2022",2022
"If you want flavorful and fragrant chicken rice, tender and delicious chicken, and overall a super delicious rice plate for an incredible price....this is it. My friend and I were crazy to think that we'd only share one medium plate. We ended up ordering seconds. The rice with the chicken and the sauce (amazing) over the entire dish was literally *chef's kiss* I don't know how else to explain it. And it's super affordable. You can't get a dish like this for ~$3.50 USD back in the States....Don't be scared by the line because it goes by pretty quickly. We went around the time they opened to avoid the line (which we did!!), but since we ordered seconds, we had to wait in line that time- but it did not take long! Definitely avoid lunch hour to be safe because the hawker stalls get CROWDED and you might not be able to score a seat!",4.0,"Apr 4, 2021",2021
"What else hasn't been said about the super popular Tian Tian chicken and rice stall? I'm not sure if I can add anything else. Yes, Bourdain was here. As usual, he is right. This quintessential Singaporean dish of chicken and rice is so perfectly done that you can't find fault in it. Incredibly soft chicken, fragrant rice and the sauce is deliciously spiced with ginger puree. I ordered a large portion (S$8.80 for a large though?!) so I could get more chicken and got the soy egg for extra protein. There wasn't a wait when I came in at 11am. The crowds came at lunch time when the surrounding office workers were out. I'm not one to stand in line for a long time and there are other chicken and rice stalls at Maxwell's which are probably worth a try too.",5.0,"Feb 27, 2023",2023
"My favorite Hainanese chicken rice hawker in Singapore. I prefer the poach chicken, but you will have the choice of roast or poach. And the rice is nice too. The lines are long, be prepared to wait.",4.0,"Sep 10, 2023",2023
"Tian Tian does not make the same Hainanese chicken rice dish that your mom used to make (sorry Mom, it's true)!  Actually, I cannot really say that my mom ever cooked this dish... but if she had, then it still would not have compared.  Tian Tian's chicken rice dish truly lives up to the legend it has become!There are enough reviews detailing the deliciousness and tenderness of this dish, so I will provide you with a pro tip - the line here can get long quickly, so plan to stop in at an off-time (ya know, not during the typical lunch/dinner rush times).  I stopped in early on a Friday afternoon and walked right up and ordered - score!  Shortly after I sat down to wait the brief wait for my order, the line grew ten-plus long in a snap.Tian Tian is definitely a must-try in Singapore!*****FIVE STARS*****",4.0,"Apr 25, 2020",2020
"During my recent trip to Singapore, I went on a mission to find the best chicken rice. Tian Tian, recommended by the concierge at the Ritz-Carlton, was the first stop on my quest.Tian Tian is located at the Maxwell Food Centre, a short walk from Marina Bay. Don't be alarmed at the long line. It moves quickly!We ordered a medium chicken rice to share (but came back again the next day and ordered our own), which set us back 5 Singapore dollars ($3.69 USD). A total steal for lunch.What makes this place so special is that they do a simple dish really well:- the chicken is perfectly poached, soft & juicy- the rice is fragrant and tasty, not bland like at Hawker Chan- the chili sauce that comes with the dish is super tasty, there's chili, citrus (probably lime), a little bit of oil, a perfect topping for this chicken rice dish. I need to get the recipe for this chili sauce because I want to drizzle it on top of all my chicken rice meals.If you are in Singapore, you MUST visit Tian Tian.",5.0,"Feb 29, 2020",2020
"I came here on my first day in Singapore and managed to skip any lines as it was about 10:45am. Score for no lines at a Michelin rated hawker stall!Went ahead and ordered their specialty Hainam chicken dish. I thought it was good and what snt it apart, was the gravy sauce! You can't find this sauce anywhere and it is probably what gives this place the 1 Michelin Star rating.After much thought, I think America has spoiled me in that theres so much options and similar to many of the famous hawker stall flavors here I in Singapore. I would defInitely recommend coming here to try the sauces Hainan Chicken if there's no ginormous line!",1.0,"Dec 1, 2022",2022
"I think my problem going into this experience were my expectations being extremely high. I've heard tons fo good feedback about Tian Tian's chicken and rice. Don't kill me for saying it, but it was so-so.. and I think that's because I sous-vide my chicken at home so I'm spoiled with super tender/moist poultry. That said I totally get for people who don't sous vide regularly, how this would be a mind blowing experience. Super affordable, great with a Tiger beer; but didn't finish the plate thinking I needed to come back again.",4.0,"Jan 11, 2020",2020
"Born out of frugality and created by servant-class immigrants trying to stretch the flavor of the chicken, chicken rice dishes are a staple to Singaporean cuisine. I did the chicken rice challenge between Tian Tian Hainanese Chicken Rice and Liao Fan Hawker Chan. The ever-so-popular Michelin Guide praised one with a single star, and the other was highlighted by a celebrity chef, Anthony Bourdain (RIP).In comparison, both prices were similar, and they both drew a crowd where the line can get pretty if arriving during peak hours. The most significant difference between these two stands was their style. One was soy sauce based, while the other was a stock-based. If I had a vote between the two, purely based on my opinion, I would give my vote to this restaurant. I loved the texture and the temperature of the chicken. Served somewhat cold while trying to beat the humidity. Along with the meal, they served chicken broth and their house version of the hot sauce, which complements well when the chicken starts to taste plain. I loved this place for the price. Although it did not fill me up, it was enough for me to have the right amount of energy to start my day.",4.0,"Jan 13, 2020",2020
Great hainan chicken and luckily we didn't have much of a wait! Chicken was moist and rice was flavorful. A little more expensive than other options: 5 per chicken rice (medium size).,4.0,"Jan 21, 2020",2020
"This place deserves a 6-star rating. Where have you been all my life!? I ate it once and had to keep going back. I woke up dreaming of it for breakfast, wished it was lunch, and possibly fast forward to dinner for this Hainanese Chicken Rice. I love the unpretentious hawker vibe, and then this amazing National dish, a dish a song should be written about -- chicken is super smooth, tender, flavorful. The rice is not over powering but also fragrant and tasty. And it's nice this is a locally loved joint, not just coz of the media hype. Live long and prosper!",5.0,"Apr 4, 2020",2020
"Bookmarked this place so many years ago and is pretty much the only thing I know I wanted to check out in Singapore haha.No long lines, solid chicken and flavorful rice. They may keep my name.",4.0,"Dec 13, 2019",2019
"Never eaten so delicious Hainanese chicken with rice before. The chicken is tender and smooth and the rice is flavoured with ginger, scallion and oil. It tasted awesome!!Just to be prepared to come early to avoid long line up. Even so, there is a very good system of collecting money on one aide and have the dishes ready on the other side.",5.0,"Apr 23, 2019",2019
"Rated to be one of the top places to get Chicken rice in Singapore so I had to try it. This joint has 2 locations but I wanted to try the popular one that is located in the Maxwell food center.Located on the opposite side of Maxwell ave of the hawker center, you will put your order in and grab a ticket. You'll then hand the ticket to the other window and they will serve you your food. The line can queue up depending on the time, especially during the lunch hour. However I showed up a little before 11:30 on a Tuesday and there was no wait!Most popular is the medium chicken rice, which includes chicken the rice and the chili sauce all on a plate. Chicken was very moist and tender like what people said but the chili sauce is what makes it really good. I highly recommend that you give this place a try although it is not my personal favorite in Singapore",4.0,"Aug 7, 2022",2022
"Got there 15 min before it closes. The line was not bad for Saturd night & they cranked out the orders very quickly. This place def knows how to handle the long queue which its fame has brought.  We ordered 2 medium chicken rice $5 each) & 1 side of vege in oyster sauce $6).  The chicken was solid, relatvely tender & not too dry, skins & bone attached. Most of the chicken were good cuts with minimal unwanted parts.  When served it already has a layer of light sauce on it, but they also privode you with a side of spicy dipping sauce. Again I wish they have that Cantonese style dipping sauce that has more minced ginger & slightly saltier.  The rice was also good, cooked in the chicken's own juice.  The vege was pretty good as well, lightly flavored & still relatively crunchyOverall the place serves solid food, but I could barely distinguish it from the other good hainan chicken rice places.",4.0,"Feb 2, 2020",2020
"I think this was a little overhyped for me unfortunately :(the chicken was quite bland. The rice was a little more fragrant, but I wasn't able to taste why this place was so special. It's quite a cheap Michelin starred place, and i've never had Hainanese chicken, so i have nothing to compare it to.",5.0,"Dec 18, 2019",2019
"I was building this up in my head so much, that I was sure I was going to disappointed. Such a cheap Michelin star restaurant - there's gotta be a catch right?Not with Tian Tian.We had to wait in line for about 10 mins. Compared to the Bay area, where it takes 10 mins to just find you a table, this was a breeze. The plates & bowls on which they actually served the chicken & soup, while not perfectly clean, was cleaner than the others we had at the hawker centers. Hey, that's how it goes, right?Now, the actual food. The rice, was something you can eat just by itself. It was flavorful and the aroma was out of this world. And it paired wonderfully with the deliciously supple chicken. The soup just tied it all together.I was disappointed a little bit cause my chicken had bones?! I was surprised a little bit by that and it did take away something from my experience. But overall, for that price and quality, a must go. But don't wait in line too long though. The other chicken rice places in the same hawker center and not bad at all.",1.0,"Dec 18, 2019",2019
"We had landed in Singapore early in the morning and wasn't able to check in yet. So we decided to take the bus to the Maxwell Hawker center as our first stop to try this spot! We got here around 9AM but it didn't open until 10AM on the dot. A lot of stalls weren't open yet so we just got a drink and waited. Line started forming close to 10AM and the line got long reallly quick. The first orders took awhile and we were prob 3rd or 4th in line. Order the large chicken rice to share with 2 for 7.80. Chicken was very juicy, soft and tender! Rice was good and goes well. Dip it in the sauce that they give you. I'm not sure if I would wait over 30-60mins for this but if it's your first time in Singapore like us, highly recommend to try this and come early!",4.0,"Nov 9, 2019",2019
"I'm not going to deny that this is good chicken rice, but I could never justify waiting any more than 20 minutes to have it. Luckily there was no wait when we went a few weeks before CB. Due to its popularity, they have a very streamlined ordering process and we got our chicken rice in no time. The rice is very fragrant and the chicken wasn't that juicy or flavorful. Also tried Ah Tai a few stalls over and thought it was far superior to Tian Tian.",4.0,"Apr 30, 2019",2019
"Yes, Tian Tian is definitely a tourist destination in the Maxwell Food Center. Popular tourist destinations tend to be known for being overrated, but I thought that Tian Tian served a decent chicken rice dish. You'll notice that there is always a long line for this stall, but the line moves pretty quickly.I ordered a large roasted chicken with rice. The portion sizes here are on the smaller size, so my ""large"" order was much smaller than I expected. The roasted chicken was nicely cooked, but the rice was what stole the show for me. The rice had a very strong chicken aroma and flavor that made it quite delicious. The red chili sauce that came on the side added a rather strong spicy kick to each bite (it was spicier than I expected).I enjoyed the chicken rice that I got here. While the portions here were small, the chicken was flavorful and the rice was even more delicious. All of this for such a cheap price? Tian Tian has my vote.",4.0,"Sep 29, 2019",2019
"Underwhelming. I think that's the perfect word to describe my experience eating the infamous Anthony Bourdain/Michelin Star rated Hainan Chicken.The chicken was cold when we started eating, and the only sauce that came with it is the red sauce, which is quite spicy so be cautious when drenching the chicken for the first time. I also feel like I didn't get a lot of meat for what we paid for. It was mainly just bone ... Another disappointment. The rice was good but I just feel like I expected so much more and that's not what I got. I've definitely tried better Hainan Chicken back home. Maybe I just had too many expectations but I don't think I'll be back, nor would I recommend this to visiting friends and family. I'm sure there's better places out there.",5.0,"Dec 30, 2018",2018
"Maybe my taste bud for Hainanese chicken is much more Americanized? I hated Tian Tian's slimey, gelatiny texture. The chicken was really wet but not moist. It had been drown in some kind of soy, oil mixture for way too long. Everything was in a half melted jello consistency. The rice was fine but nothing to write home about. Really turned off by mouthful of gelatinized fat but was later told that part  holds the key to every great hainanese chicken rice. Unfortunately, not for me, C plus at best in my book.",4.0,"Jul 19, 2020",2020
"My 2nd favorite place for Hainan chicken rice, love their hot sauce as it has the perfect amount of heat to it.The chicken is cooked perfectly and melts in your mouth. The rice is very fragrant and service is with a smile.Just because Anthony Bourdain's picture is in the front doesn't change my mind on how good this place is.For sure will be back when in SG.",5.0,"Feb 13, 2019",2019
"There are 2 famous chicken rice places at Maxwell, and they're only a few stalls down from each other. Tian tian was the original and occupies stalls 10-11.The rice plate comes in small, medium, large. The small is only 3.50 - it's nice to have the option of small so you  can try more stuff. They also have other dishes, but the rice plate is the star. Order at line A and pickup at line B. The chicken rice is chicken breast (boneless and skinless), which I appreciate. It's super tender. The rice also has good chicken flavor. Warning: the hot sauce sauce is hot.",4.0,"Jul 30, 2018",2018
"Delish Hainanese chicken! First time I attempted to try out this place was on a Thursday at around 5:30 pm, about 6 or 7 people ahead of me by the time they  completely sold out - sad. Ended up going to Ah Tai (which was delish!).Tried again on a Friday around 11:45 am. The line was super long, but it moved quickly. We got a medium sized portion for $5 SGD. The rice was delish and the chicken was tender. The spicy sauce was really spicy and so good! I will say that after trying Ah Tai, I felt like Ah Tai was a better value and just as delish. If you're not feeling the wait for tian tian, def try out Ah Tai. Otherwise, tian tian is worth a try!",4.0,"Apr 16, 2018",2018
"I can understand why this place is so popular (we showed up around 11 and there already was a line). The chicken was very tender and moist, though I'm confused by why there was no skin included. Rice was also well flavored, if a bit too soft for my taste. No aircon in the hawker center, so grab a coconut or soursop juice from one of the stalls across and you're good to go.",5.0,"Jan 11, 2018",2018
"Another Michelin-rated hawker meal.  Another lineup and another great meal for only $5SG.  The chicken was smooth and rice was not oily and tastes good.  You cannot beat the value/taste proposition for sure.  Is this a ""wow, out of this world meal""?  Not quite, but still worth a try if you are in the area..",1.0,"Feb 7, 2020",2020
"Tian Tian Hainanese Chicken Rice at Maxwell Food Center is one of Singapore's busiest food stalls with such fans as Gordon Ramsey and Anthony Bourdain. But what is Hainanese chicken rice? In short -- it's seasoned poached chicken with rice, served with chilli sauce and garnished with cucumber. It was created by immigrants from Hainan province in southern China as a cheap and easy meal.We hit up the Maxwell Food Center as part of a tour with Sneak Peek Singapore. This stall wasn't part of our tour (that sampled foods from other stalls with no wait). So I recommend tag teaming with someone. The line moves quickly, but anticipate a wait of 20-30 minutes. We BARELY got our chicken in time before our tour nearly left us behind. The stall sells other dishes like vegetables with oyster sauce and cuttlefish. But you basically come here for one dish only -- the famed Hainanese chicken rice. I recommend ordering the most popular option -- a medium-sized chicken rice priced at $5 Singaporean dollars (or about $3.60 USD).What's the verdict? Was the wait worth it? I think so. The rice was perfectly cooked. Though, the chicken tasted pretty similar to other places we tried.  If you have the time to wait (and patience), add it to your foodie check list. Or if you hate waiting like me, tag team with another person to wait in line.",4.0,"Apr 6, 2018",2018
"Okay, so its been 9 years since i have been here (yelp was not in singapore yet) but it is still my favorite hainan chicken rice ever! Braving the long lines can be problematic especially when tempted by so many food stalls at the Maxwell food market! Their chicken achieves that elusive perfect balance between cooked just enough to be tender but not too well done for the meat to be dry.  Texture is spot on. Gingery sauce and spicy sauce is delicious.  I miss this place still",4.0,"Dec 11, 2019",2019
"maybe more like 3.75 out of 4 stars.if you're in Singapore, you will most likely check out a few hawkers. we actually checked out this Maxwell Food Centre hawker twice in a time span of 24 hours.... lol, once at night when pretty much everything was closed, and once again in the morning to get here before the crowd of people line up at tian tian.  this place attracts famous chefs and other famous tv personal (RIP anthony bourdain), so i had to check this place out.  i'm giving it 4 stars, since i did not have to wait that long. i got here around 9:30 and there were a few other people here as well, but when we started lining up, i didn't need to wait more than 5 mins to get the food.  and getting the food is very quick.we got a medium sized hainan chicken rice, bean sprouts and some chicken gizzards. the chicken rice is like as everyone else will say, bomb.  however, there is a duck restaurant that's adjacent to this place, and that even better rice.  if you can combine that rice with this hainan chicken, it would be the perfect meal. everything was cheap, and filling!believe this place is cash only.",4.0,"Jan 15, 2020",2020
"Heard that this was one of the most famous chicken rice hawkers in Singapore, but I was quite disappointed. The boiled chicken is tasteless, each serving comes with a few tiny slices of cucumber, and the rice (which is supposed to be fragrant and praised by international chefs) was hard and not fully-cooked.",5.0,"Sep 25, 2019",2019
"Anointed by the Travel Channel giants as THE best chicken rice in Singapore.  Recognized by the Michelin Guide as a bib gourmand eatery.  All that translates into long lines, sterile service,  and a mass produced product that, while good, doesn't live up to the hype.1. Stand in the long line that disappears around the corner.  2. Place your entire order at the first window.  A modern POS spits out a payment receipt and an order tag.3. Grab a tray and spoons.4. Hand your order tag (not your payment receipt) to the person at the second window where already assembled plates of chicken rice and hot sauce sit.5. The number and type of plate will be placed on the tray.6. Done.The chicken (ordered large drum that includes thigh meat), tender, juicy and impregnated with a lemon grass, kefir lime leaf flavor.  The rice, clearly cooked in the chicken stock but flavor not as deep as expected.  Adding the more herbaceous chili sauce adds a good clean chili flavor that does elevate the dish.Note:  no bowl of cooking broth as given by most otther stalls.A bargain at $3.50 SGD regular, $3.75 SGD large.  Choice of breast or drum / theigh meat, half or whole chicken.  Side plate of veg also available.Outstanding for sure, just not the best.",4.0,"Feb 10, 2020",2020
"Terrific is pretty much all I can say. Incredibly aromatic rice and super juicy tender chicken. First bite is not enough and I ordered Medium. Should have gone large but wanted to leave room for the other hawker stalls. They definitely earned that superb reputation. The service was fast and nothing beats this, hands down!",5.0,"Oct 6, 2019",2019
"For some reason, I think of this place when I missed Asia.. the chicken and rice is so guud here! I think I'll come back to Singapore -just for this!! LolMaybe it's time to go back to Asia soon!",4.0,"Jun 22, 2021",2021
"One of the most delicious finds during my last trip to Singapore!Hainanese chicken rice can be found on every corner in Singapore but Tian Tian definitely warrant a visit! Nestled in Chinatown's iconic Maxwell Hawker Center, this particular stall is easy to spot thanks to the long lines as well as a big poster of Anthony Bordain next to it. Their menu is pretty straightforward and all the usual suspects are available - steamed/roasted chicken and vegetables in oyster sauce. For my first visit, I can't decide between the poached or the roasted chicken, so when in doubt, the rule of thumb is to get both! :P. The chicken was tender and juicy while the rice was flavorful with a mouthwatering aroma! Altogether there was a good harmony between the chicken, rice, chili sauce and soy sauce. I honestly love both versions, but the later added a nice smoky flavor that I like.The pricing was dead cheap with each plate costing around $4-8 SGD (depending on the portions) and food was served canteen style. Simple, affordable and utterly delicious.... Can't help but to fall in love with Tian Tian Hainanese Chicken Rice!",4.0,"Mar 21, 2017",2017
"We were in full-on tourist mode and decided to try our luck at the super popular Tian Tian stall. It opens at 10am and a line begins to form even before opening time. We were in line by 10:15am and I was concerned about the wait time. The online reported wait times turned out to be quite exaggerated based on our experience. It took us about 15 minutes to get served, and that is only because they were running behind and hadn't opened on time, meanwhile a crowd was building. If we had arrived at 10:45am, the wait would've been at most 5 minutes.With the volume of business that Tian Tian does, they've perfected the service. You decide what size you want and pay at the first section, then walk over to the second section and pick up your plate of food. Finally, find any seat at the hawker centre and enjoy your meal. It's very simple and efficient.I have to say that I enjoyed the chicken very much. However, is it better than other chicken rice in Singapore? I think not.",5.0,"Nov 24, 2017",2017
